1432,4/14/2011,28.36,0202,C
1432,4/15/2011,42.54,0303,C
1432,4/16/2011,56.72,0404,C
1432,4/17/2011,70.90,0505,C
1432,4/18/2011,85.08,0606,C
1432,4/19/2011,99.26,0707,C
1432,4/20/2011,113.44,0808,C
2864,4/14/2011,42.54,0303,D
2864,4/15/2011,56.72,0404,D
2864,4/16/2011,70.90,0505,D
2864,4/17/2011,85.08,0606,D
2864,4/18/2011,99.26,0707,D
2864,4/19/2011,113.44,0808,D
2864,4/20/2011,127.62,0909,D
2864,4/21/2011,141.80,1010,D
3207,4/14/2011,56.72,0404,C
3207,4/15/2011,70.90,0505,C
3207,4/16/2011,85.08,0606,C
3207,4/17/2011,99.26,0707,C
3207,4/18/2011,113.44,0808,C
3207,4/19/2011,127.62,0909,C
3207,4/20/2011,141.80,1010,C
3207,4/21/2011,155.98,1111,C
3207,4/22/2011,170.16,1212,C
